username,comment,comment_cleansing
@alvinvinoza,"['naikin', 'gaji']",naikin gaji
@MuklasinMuklasin-k6w,"['kalo', 'hukum', 'mati', 'kiamat', 'negeri', 'korupsi']",kalo hukum mati kiamat negeri korupsi
@infotodax,"['enggak', 'bayang', 'gaji', 'lu', 'serakah', 'lu']",enggak bayang gaji lu serakah lu
@febbriyansaputra4132,"['tolong', 'host', 'support', 'lindung']",tolong host support lindung
@chalvit4162,"['berita', 'kayak', 'bawa', 'santai', 'tajam', 'abang', 'ku']",berita kayak bawa santai tajam abang ku
@niutto5910,"['korupsi', 'pertamina', 'budaya', 'darah', 'daging', 'jabat', 'bongkar', 'lambat', 'bumn', 'institusi', 'perintah', 'korup', 'bongkar', 'moga', 'perintah', 'prabowo', 'berantas', 'korupsi', 'janji']",korupsi pertamina budaya darah daging jabat bongkar lambat bumn institusi perintah korup bongkar moga perintah prabowo berantas korupsi janji
@MuhammadRusmadi-o7k,"['gila', 'biasa', 'dengar', 'korupsi', 'ratus', 'triliun', 'sumpah', 'tuhan', 'indonesia', 'emas', 'indonesia', 'sakaratul', 'maut']",gila biasa dengar korupsi ratus triliun sumpah tuhan indonesia emas indonesia sakaratul maut
@johansigarantang,"['pria', 'berani', 'ahmed', 'nurmagedov', 'host', 'berita', 'metro', 'tv', 'ku', 'kreatif', 'berani', 'dukung', 'sembunyi']",pria berani ahmed nurmagedov host berita metro tv ku kreatif berani dukung sembunyi
@alfath4971,"['pertamina', 'pln', 'selidik', 'rugi', 'kpk', 'woi', 'kerja']",pertamina pln selidik rugi kpk woi kerja
@Lyvimoon,"['shesshh', 'fokus', 'masak', 'lupa', 'atur', 'api', 'bara', 'lindung', 'beliauu', 'jabat', 'baperan', 'enggak', 'terima', 'katai', 'hukum', 'alas', 'mencerkan', 'nama', 'semoag', 'enggak', 'deh', 'jabat', 'enggak', 'tau', 'kayak', 'otw', 'subrekk']",shesshh fokus masak lupa atur api bara lindung beliauu jabat baperan enggak terima katai hukum alas mencerkan nama semoag enggak deh jabat enggak tau kayak otw subrekk
@Rizallaufa_2014Rizallaufa,"['tulis', 'naskah', 'harga', 'cooking', 'liga', 'korupsi']",tulis naskah harga cooking liga korupsi
@imanradiman-xb7sq,"['tuju', 'ucap', 'karen', 'bongkar', 'nikmat', 'korupsi', 'takut', 'tanggung', 'nama', 'ragu', 'ok']",tuju ucap karen bongkar nikmat korupsi takut tanggung nama ragu ok
@anasrullah4641,"['let', 'him', 'cook']",let him cook
@ardia2308,"['kangen', 'hakim', 'vonis', 'koruptor', 'hukum', 'mati', 'minimal', 'penjara']",kangen hakim vonis koruptor hukum mati minimal penjara
@rudypri100,"['korupsi', 'minimal', 'milyar', 'hukum', 'mati', 'indonesia', 'makmur', 'tuju', 'enggak']",korupsi minimal milyar hukum mati indonesia makmur tuju enggak
@ojolgaming9138,"['tatap', 'mata', 'jelas', 'jujur', 'tutup']",tatap mata jelas jujur tutup
@ForumAnakBangsa,"['media', 'harusmya', 'berita', 'cerdas', 'warga', 'negara']",media harusmya berita cerdas warga negara
@ManzrealID,"['tonton', 'berita']",tonton berita
@KYA057,"['berita', 'tepi', 'jurang']",berita tepi jurang
@nr777s,"['stand', 'up', 'terjun', 'jurang']",stand up terjun jurang
@tayokids8865,"['lugas', 'adab', 'mantap', 'jelas', 'salam', 'hormat', 'karen']",lugas adab mantap jelas salam hormat karen
@kidemang8606,"['gila', 'presiden', 'rakyat', 'dukung', 'mu', 'terbit', 'perpu', 'rampas', 'aset', 'koruptor', 'presiden']",gila presiden rakyat dukung mu terbit perpu rampas aset koruptor presiden
@sukoharjan1505,"['tampak', 'karen', 'tegar', 'lancar']",tampak karen tegar lancar
@Djaisabdulajis,"['demo', 'mahasiswa', 'desak', 'perintah', 'hukum', 'berat', 'koruptor', 'sah', 'uu', 'rampas', 'aset']",demo mahasiswa desak perintah hukum berat koruptor sah uu rampas aset
@mariasyarif884,"['orang', 'salah', 'komentar', 'terang', 'anggap', 'korban', 'lancar', 'no', 'komen', 'korban']",orang salah komentar terang anggap korban lancar no komen korban
@carsahamdaniofficial,"['ribu', 'pulung', 'bantargebang', 'cari', 'uang', 'ribu', 'susah', 'payah', 'pilah', 'sampah', 'penuh', 'sakit', 'orang', 'uang', 'trilyunan', 'makan', 'jabat', 'rakyat', 'doa', 'hidup', 'pulung']",ribu pulung bantargebang cari uang ribu susah payah pilah sampah penuh sakit orang uang trilyunan makan jabat rakyat doa hidup pulung
@IdeKreatif1814,"['tegar', 'mental', 'kuat', 'moga', 'uji', 'kelas', 'doa', 'allah', 'swt', 'maha']",tegar mental kuat moga uji kelas doa allah swt maha
@mahdinafi4393,"['korupsi', 'indonesia', 'bangkrut']",korupsi indonesia bangkrut
@Mr4ngg4,"['semangat', 'tegar', 'karen', 'tabir', 'buka', 'bicara', 'ungkap', 'benar']",semangat tegar karen tabir buka bicara ungkap benar
@nihnu-q7m,"['anja', 'metrotv', 'wakil', 'gemar', 'bola']",anja metrotv wakil gemar bola
@pramistyo5025,"['rugi', 'rakyat', 'negara', 'negara', 'untung']",rugi rakyat negara negara untung
@cokhro7228,"['karen', 'laku', 'jadi', 'tumbal']",karen laku jadi tumbal
@syamsulusroqusroq3148,"['mantap', 'teks', 'jujur', 'hati', 'tinggal', 'tunggu', 'kawan', 'teman', 'sel']",mantap teks jujur hati tinggal tunggu kawan teman sel
@angelachali3772,"['gen', 'reporter', 'be', 'like']",gen reporter be like
@bvp79,"['china', 'model', 'hukum', 'berantas', 'korupsi', 'indonesia', 'tak', 'contoh', 'alas', 'ham']",china model hukum berantas korupsi indonesia tak contoh alas ham
@revachocolate2216,"['nyala', 'abang', 'ku', 'reporter', 'terus']",nyala abang ku reporter terus
@munawirwin9918,"['tuntut', 'jaksa', 'rp', 'hukum', 'penjara', 'rp', 'hukum', 'penjara']",tuntut jaksa rp hukum penjara rp hukum penjara
@UPrab-qj8ei,"['uu', 'sita', 'aset', 'bkm', 'sahkan', 'koruptor', 'hukum', 'mati', 'jagung', 'bantu', 'kpk', 'korupsi', 'hilang', 'negeri', 'hukum', 'laku', 'ringan', 'negeri', 'salut', 'jagung']",uu sita aset bkm sahkan koruptor hukum mati jagung bantu kpk korupsi hilang negeri hukum laku ringan negeri salut jagung
@KutuMetal-j8o,"['konspirasi', 'tumbal', 'tutup', 'rahasia', 'besar']",konspirasi tumbal tutup rahasia besar
@aldiapriansyah9305,"['gosong', 'cheff']",gosong cheff
@nelsonbida9958,"['teriak', 'ahklak', 'bawah', 'enggak', 'ahklak']",teriak ahklak bawah enggak ahklak
@dhanielmanurung3415,"['tonton', 'metro', 'tv']",tonton metro tv
@BliBilly,"['berani', 'mantap', 'admin', 'metro']",berani mantap admin metro
@habib.af75,['lindung'],lindung
@aisyahmubarak8614,"['sabar', 'karen', 'allah', 'lindung', 'mu', 'zolim', 'laknat', 'allah', 'aamiinn']",sabar karen allah lindung mu zolim laknat allah aamiinn
@wisastragoesty7249,"['karen', 'berani', 'buka', 'amin']",karen berani buka amin
@HBudionoHMBA,"['benar', 'buruk', 'benar', 'buruk', 'muncul', 'buka', 'pertamina', 'karen', 'jabat', 'semat', 'jabat', 'bagus', 'reputasi', 'cemerlang']",benar buruk benar buruk muncul buka pertamina karen jabat semat jabat bagus reputasi cemerlang
@Istimevva,"['orang', 'jujur', 'lugas', 'bohong', 'tele', 'cari', 'benar', 'lugas', 'dann', 'gesture', 'wajar', 'jujur', 'tahan', 'beban']",orang jujur lugas bohong tele cari benar lugas dann gesture wajar jujur tahan beban
@Mr.Brick1359,"['absolute', 'cema']",absolute cema
@fariez26,"['bangga', 'kerja', 'pertamina', 'halo', 'kabar']",bangga kerja pertamina halo kabar
@zhaggychannel3783,"['jagung', 'kerja', 'kpk', 'sesuai', 'pesan']",jagung kerja kpk sesuai pesan
@mr.robert2334,"['asik', 'nih', 'metro', 'wkwk', 'auto', 'subscribe']",asik nih metro wkwk auto subscribe
@Gavchky,"['sangka', 'korupsi', 'kasihan', 'tua', 'pikul', 'tanggung', 'berat', 'tindak', 'laku']",sangka korupsi kasihan tua pikul tanggung berat tindak laku
@heriaryanto5621,"['pln', 'rakyat', 'bayar', 'rugi', 'alas', 'kemarin', 'diskon', 'dekade', 'apa', 'alas', 'pelihara', 'pemabngunan', 'anggar', 'kucur', 'subsidi', 'perintah', 'janggal', 'ratus', 'triliun', 'hal', 'bumn']",pln rakyat bayar rugi alas kemarin diskon dekade apa alas pelihara pemabngunan anggar kucur subsidi perintah janggal ratus triliun hal bumn
@hannibal_smith851,"['intonasi', 'gestur', 'mikro', 'ekspresi', 'tekan', 'perintah', 'main', 'mafia']",intonasi gestur mikro ekspresi tekan perintah main mafia
@Djumhana-e7r,"['adakan', 'olimpiade', 'dunia', 'cabang', 'koropsi', 'peringkat', 'dunia', 'moga', 'pertamina', 'rengking', 'dunia', 'juara', 'moga', 'indonesia', 'maju', 'hal', 'pengkoropsian', 'dunia']",adakan olimpiade dunia cabang koropsi peringkat dunia moga pertamina rengking dunia juara moga indonesia maju hal pengkoropsian dunia
@kadhiiom6858,"['uu', 'rampas', 'asset', 'sahkan', 'makmur', 'rakyat']",uu rampas asset sahkan makmur rakyat
@kangklnx,"['bro', 'masak']",bro masak
@LaokKelana,"['negara', 'indonesia', 'solusi', 'koruptor', 'rugi', 'negara', 'jalan', 'sah', 'undang', 'hukum', 'mati', 'miskin']",negara indonesia solusi koruptor rugi negara jalan sah undang hukum mati miskin
@AetherRim,"['pucuk', 'dingin', 'bos']",pucuk dingin bos
@1360CLAN,"['kawal', 'presenternya', 'enggak', 'hilang']",kawal presenternya enggak hilang
@husamudin2712,"['kayak', 'negeri', 'uang', 'negara', 'rampok', 'ugal', 'an', 'bangsa', 'tuhan', 'sayang']",kayak negeri uang negara rampok ugal an bangsa tuhan sayang
@novaprime8972,"['gestur', 'kalo', 'orang', 'benar', 'salah', 'cenderung', 'hindar', 'awak', 'media', 'kalo', 'karen', 'lama', 'media', 'jelas', 'mantap', 'mikir', 'tanda', 'jelas', 'dasar', 'realita', 'alam', 'konstruk', 'sayang', 'guru', 'besar', 'harvard', 'jadi', 'tumbal']",gestur kalo orang benar salah cenderung hindar awak media kalo karen lama media jelas mantap mikir tanda jelas dasar realita alam konstruk sayang guru besar harvard jadi tumbal
@yeniyeni7191,"['mbak', 'karen', 'keren', 'argumentasi', 'analaysis', 'profit', 'implementasi', 'runut', 'terstrukstur', 'ukur', 'cepat', 'moga', 'jahat', 'kerah', 'putih', 'tumpas', 'dibrantas', 'pucuk', 'akar', 'indonesia', 'adil', 'makmur', 'sejahtera', 'moga']",mbak karen keren argumentasi analaysis profit implementasi runut terstrukstur ukur cepat moga jahat kerah putih tumpas dibrantas pucuk akar indonesia adil makmur sejahtera moga
@dianasutyoso6461,"['takut', 'usaha', 'besar', 'indonesia', 'usaha', 'baik', 'negara', 'ikut', 'perintah', 'salah', 'caplok', 'korban', 'sayang', 'semangat', 'karen']",takut usaha besar indonesia usaha baik negara ikut perintah salah caplok korban sayang semangat karen
@valdianapart2,"['bawa', 'berita', 'baik']",bawa berita baik
@Maini_otodidax,"['moga', 'allah', 'swt', 'lindung', 'suka', 'mendzolimi', 'ingat', 'sesuai', 'laku']",moga allah swt lindung suka mendzolimi ingat sesuai laku
@DaengAlle15,"['rakyat', 'mu']",rakyat mu
@subandiman6238,"['maju', 'koruptor', 'jajah', 'koruptor', 'negeri', 'jabat', 'nih', 'rakyat', 'indonesia', 'tolong', 'sejahtera', 'rakyat', 'jelata']",maju koruptor jajah koruptor negeri jabat nih rakyat indonesia tolong sejahtera rakyat jelata
@KenkoHarru-p1w,"['wakanda', 'korupsi', 'enggak', 'nanggung', 'bos', 'gidik', 'bulu', 'kuduk', 'angka', 'fantastis', 'bravo', 'koruptor', 'biadab']",wakanda korupsi enggak nanggung bos gidik bulu kuduk angka fantastis bravo koruptor biadab
@hadidarma2075,"['hebat', 'jaksa', 'berani', 'tetap', 'bos', 'minyak', 'enggak', 'sentuh', 'hukum']",hebat jaksa berani tetap bos minyak enggak sentuh hukum
@kosakata8632,"['kalo', 'perintah', 'jabat', 'mending', 'mundur', 'pensiun']",kalo perintah jabat mending mundur pensiun
@iisan1,"['sopan', 'semat', 'jas', 'korupsi', 'beri', 'gelang', 'tangan', 'sangka', 'kompak', 'social', 'distancing', 'pakai', 'masker', 'salut']",sopan semat jas korupsi beri gelang tangan sangka kompak social distancing pakai masker salut
@kisraofficial3820,"['laksana', 'laku', 'utama', 'ngopi', 'tonton', 'berita', 'baca', 'komentar', 'netizen']",laksana laku utama ngopi tonton berita baca komentar netizen
@onedypictures2575,"['kpk', 'sulit', 'percaya']",kpk sulit percaya
@nginx404_not_found6,['gelap'],gelap
@hafidzah2011,"['dpr', 'sahkan', 'undang', 'rampas', 'aset', 'koruptor']",dpr sahkan undang rampas aset koruptor
@istiyo235,"['korupsi', 'rugi', 'besar', 'korporasi', 'skenario', 'dalang', 'balik', 'jabat', 'jerat', 'laku', 'habis', 'tegiur', 'nikmat']",korupsi rugi besar korporasi skenario dalang balik jabat jerat laku habis tegiur nikmat
@Suara.Rakyat2023,"['lihat', 'gamblang', 'lurus', 'doa', 'tegar', 'allah', 'tolong']",lihat gamblang lurus doa tegar allah tolong
@misradi9244,"['orang', 'jujur', 'korbann', 'moga', 'azab', 'janji', 'cipta', 'cepat', 'amin']",orang jujur korbann moga azab janji cipta cepat amin
@aha2808,"['inshaalloh', 'karen', 'jalan', 'lurus', 'bongkar', 'habis', 'otak', 'korupsi', 'pertamnia']",inshaalloh karen jalan lurus bongkar habis otak korupsi pertamnia
@yatnayatna5204,"['dukung', 'bongkar', 'koruptor']",dukung bongkar koruptor
@asihwidayati9243,"['moga', 'benar', 'ungkap', 'tegar', 'kayak', 'plate', 'bts']",moga benar ungkap tegar kayak plate bts
@suhaemimachmir7858,"['korek', 'akar', 'akar', 'jaring', 'korupsi']",korek akar akar jaring korupsi
@mariaalqibtiyaa143,"['percaya', 'jelas', 'karen', 'insya', 'allah', 'benar', 'muncul', 'juang', 'allah', 'orang', 'sabar']",percaya jelas karen insya allah benar muncul juang allah orang sabar
@JodekaBimo-mv8el,"['karen', 'hebat', 'buka', 'orang', 'karen', 'keren', 'buka', 'lebar', 'lebar']",karen hebat buka orang karen keren buka lebar lebar
@syarifhidayatul2597,"['sopan', 'tangan', 'maling', 'dasi', 'beda', 'kalo', 'nanganin', 'maling']",sopan tangan maling dasi beda kalo nanganin maling
@suhaemimachmir7858,"['bravo', 'jaksa', 'agung', 'ri']",bravo jaksa agung ri
@MOJA-RF-DP8,"['metro', 'tv', 'memasakk']",metro tv memasakk
@umayahsamsoel1075,"['kpk', 'firly', 'penting', 'murni', 'berantas', 'korupsi', 'sabar', 'orang', 'enggak', 'korupsi', 'cari', 'salah']",kpk firly penting murni berantas korupsi sabar orang enggak korupsi cari salah
@edyroes6083,"['moga', 'sehat', 'semangat']",moga sehat semangat
@nouveleffendi565,"['bongkar', 'tuntas', 'karen']",bongkar tuntas karen
@bijaijah523,"['takngkap', 'presiden', 'biar', 'pura', 'enggak', 'cuci', 'tangan']",takngkap presiden biar pura enggak cuci tangan
@cokiMoy,"['rugi', 'negara', 'besar', 'rugi', 'rakyat', 'mengunakan', 'minyak', 'parah', 'hukum', 'berat', 'berat']",rugi negara besar rugi rakyat mengunakan minyak parah hukum berat berat
@wanabi-e5n,"['merdu', 'merdu', 'nyanyi', 'papan', 'moga', 'nyanyi', 'merdu', 'buka', 'benar', 'bungkam', 'kutu', 'busuk', 'semangat']",merdu merdu nyanyi papan moga nyanyi merdu buka benar bungkam kutu busuk semangat
@ApeApen,"['mantap', 'tegar', 'semangat', 'lugas', 'bongkar', 'biar', 'korban', 'sabar', 'sehat', 'sau', 'keluarga', 'tabah', 'ikhlas', 'terima', 'uji', 'amin', 'yra']",mantap tegar semangat lugas bongkar biar korban sabar sehat sau keluarga tabah ikhlas terima uji amin yra
@shine0445,"['koruptor', 'negeri', 'blas', 'enggak', 'takut', 'malu', 'hukum', 'enggak', 'laku', 'jera']",koruptor negeri blas enggak takut malu hukum enggak laku jera
@alexayeoraffa2252,"['indonesia', 'enggak', 'orang', 'pintar', 'orang', 'jujur', 'indonesia', 'kondisi', 'bahaya', 'korupsi', 'budaya', 'baruh', 'hukum', 'koruptor', 'hukum', 'mati']",indonesia enggak orang pintar orang jujur indonesia kondisi bahaya korupsi budaya baruh hukum koruptor hukum mati
@jasajoky,"['ku', 'tunggu', 'nyanyi', 'merdu', 'mu']",ku tunggu nyanyi merdu mu
@radiabdulazis2666,"['profesional', 'orang', 'suka', 'celah', 'titik', 'lemah', 'orang', 'serang', 'silaturahmi', 'tanda', 'kutip', 'aman', 'profesional']",profesional orang suka celah titik lemah orang serang silaturahmi tanda kutip aman profesional
@samueldorgis9359,"['ayo', 'dahlan', 'karen', 'buka', 'hal', 'tuduh', 'pres', 'inpres', 'arti', 'tri', 'bumn', 'komisaris', 'korporasi', 'bongkar', 'masy', 'main', 'mafia', 'migas', 'level', 'kuasa']",ayo dahlan karen buka hal tuduh pres inpres arti tri bumn komisaris korporasi bongkar masy main mafia migas level kuasa
@surabayasurabaya89,"['moga', 'karen', 'sehat']",moga karen sehat
@kobenilman182,"['karen', 'nyaman', 'babat', 'habis', 'wartawan', 'sayang', 'wawancara', 'batas']",karen nyaman babat habis wartawan sayang wawancara batas
@ahmadgojali5451,"['karen', 'tau', 'kna', 'tumbal', 'ekspresi', 'wajah', 'wajah', 'orang', 'jujur', 'moga', 'umur', 'sehat', 'kak', 'selamat', 'lancar', 'tagan', 'mudahn', 'tahu', 'jahat', 'koruptor', 'amien', 'allah', 'robbalalamin']",karen tau kna tumbal ekspresi wajah wajah orang jujur moga umur sehat kak selamat lancar tagan mudahn tahu jahat koruptor amien allah robbalalamin
@Kaka_Sun_Tasik,"['kasih', 'berita', 'tuh', 'vulgar', 'berani', 'alih', 'isu', 'mulu', 'kasihan', 'masyarakat', 'bodoh']",kasih berita tuh vulgar berani alih isu mulu kasihan masyarakat bodoh
@RahmatNata-q3j,"['terima', 'kasih', 'bapak', 'jagung', 'ri', 'action', 'bahagia', 'bangga', 'rakyat', 'nkri', 'habisin', 'bersih', 'akar', 'khianat', 'rakyat', 'b', 'e', 'a', 'l', 'bangsa', 'negara', 'b', 'r', 'a', 'v', 'o', 'e', 'a', 'enggak', 'a', 't', 'salam', 'rahayu']",terima kasih bapak jagung ri action bahagia bangga rakyat nkri habisin bersih akar khianat rakyat b e a l bangsa negara b r a v o e a enggak a t salam rahayu
@ghazi283,"['orang', 'pandai', 'kecimpung', 'dunia', 'migas', 'jasa', 'sektor', 'migas', 'dipolitisir', 'penting', 'politik', 'golong']",orang pandai kecimpung dunia migas jasa sektor migas dipolitisir penting politik golong
@Gun-cu4vn,"['bersih', 'maju', 'biang', 'kerok', 'ketemu', 'rakyat', 'doa', 'orang', 'bersih', 'moga', 'cepat', 'selsai', 'amin', 'yra']",bersih maju biang kerok ketemu rakyat doa orang bersih moga cepat selsai amin yra
@adiwijayanto5561,"['bismillah', 'moga', 'sehat', 'sabar', 'jalan', 'tunjuk']",bismillah moga sehat sabar jalan tunjuk
@trihidayati4422,"['mantap', 'karen', 'wanita', 'tangguh', 'berani', 'moga', 'kuat', 'terima', 'uji', 'berat']",mantap karen wanita tangguh berani moga kuat terima uji berat
@mikoLea,"['mohon', 'informasi', 'pertamax', 'pertamina', 'edar', 'oplos']",mohon informasi pertamax pertamina edar oplos
@WawanHermawan-es8uj,"['impor', 'pertalite', 'jual', 'pertamax', 'konsumen', 'rugi', 'beli', 'pertamax', 'isi', 'pertalite']",impor pertalite jual pertamax konsumen rugi beli pertamax isi pertalite
@apulpsimorangkir7877,"['moga', 'pintu', 'masuk', 'ungkap', 'laku', 'utama', 'kuasa', 'bisnis', 'minyak', 'pertamina', 'orang', 'generasi', 'laku', 'utama', 'akar']",moga pintu masuk ungkap laku utama kuasa bisnis minyak pertamina orang generasi laku utama akar
@gabrielmaliq,"['teks', 'hapal', 'lugas', 'tatap', 'penuh', 'yakin', 'mencla', 'mencle']",teks hapal lugas tatap penuh yakin mencla mencle
@waprasetyo6855,"['semangat', 'moga', 'allah', 'swt', 'kasih', 'jalan', 'baik', 'keluarga', 'jabat', 'juang', 'penting', 'rakyat']",semangat moga allah swt kasih jalan baik keluarga jabat juang penting rakyat
@christinesugito2561,"['rampok', 'jamaah', 'libat', 'laku', 'rugi', 'konsumen', 'jangka', 'rampok', 'negara', 'bangkrut']",rampok jamaah libat laku rugi konsumen jangka rampok negara bangkrut
@Aldi__mil,"['korupsi', 'korupsi', 'korupsi', 'kecil', 'kalo', 'tuntut', 'rendah', 'enggak', 'peka', 'enggak', 'takut', 'rakyat', 'kena', 'akibat', 'enggak', 'salah', 'negara', 'demokrasi']",korupsi korupsi korupsi kecil kalo tuntut rendah enggak peka enggak takut rakyat kena akibat enggak salah negara demokrasi
@MEDIAARMY,"['hukum', 'mati', 'korupsi']",hukum mati korupsi
@rajabatik4904,"['ibuk', 'kuat', 'salah']",ibuk kuat salah
@ary1ststyowati291,"['allah', 'uang', 'rakyat', 'bingung', 'cari', 'kerja', 'cari', 'uang', 'cari', 'makan']",allah uang rakyat bingung cari kerja cari uang cari makan
@papapjoshua3563,"['karen', 'korban', 'rezim', 'laknat']",karen korban rezim laknat
@BajJangNur,"['ayo', 'kare', 'bongkar', 'mu', 'negeri', 'indonesia', 'maju', 'merdekaa']",ayo kare bongkar mu negeri indonesia maju merdekaa
@aremajaya6189,"['kalo', 'mau', 'pribadi', 'seret', 'sangkut', 'biar', 'tuntas']",kalo mau pribadi seret sangkut biar tuntas
@bambangjanuarwinarto2642,"['akibat', 'tindak', 'bawa', 'pidana', 'tindak', 'oplos', 'akibat', 'rugi', 'rakyat', 'tindak', 'laku', 'ganti', 'rugi', 'rakyat', 'indonesia', 'tipu', 'sesuai', 'beli', 'itu', 'ganti', 'rugi', 'rakyat', 'indonesia', 'laku']",akibat tindak bawa pidana tindak oplos akibat rugi rakyat tindak laku ganti rugi rakyat indonesia tipu sesuai beli itu ganti rugi rakyat indonesia laku
@budimansitorus4373,"['putus', 'korupsi']",putus korupsi
@Alok99daimen-iq8cn,"['beda', 'jos', 'metro', 'tv']",beda jos metro tv
@meirzarousvianto2372,"['sedih', 'buu', 'degar', 'dengar', 'karen', 'bebas', 'hukum', 'senang', 'salah', 'putri', 'baik', 'indonesia', 'moga', 'lewat', 'coba', 'kuat', 'allah', 'swt', 'bukti', 'sidang', 'karen']",sedih buu degar dengar karen bebas hukum senang salah putri baik indonesia moga lewat coba kuat allah swt bukti sidang karen
@1030type,"['dirutnya', 'produksi', 'kilang', 'turunin', 'biar', 'open', 'impor', 'minyak', 'mentah', 'kenyang', 'pertalite', 'oplos', 'jual', 'pakai', 'harga', 'pertamax', 'sektor', 'minyak', 'beras', 'gula', 'masyarakat', 'gamblang', 'lihat', 'mafia', 'terima', 'kasih', 'orang', 'nangkep']",dirutnya produksi kilang turunin biar open impor minyak mentah kenyang pertalite oplos jual pakai harga pertamax sektor minyak beras gula masyarakat gamblang lihat mafia terima kasih orang nangkep
@Sapu-sapu.official,['kelazz'],kelazz
@Luxire_yomeware,['suka'],suka
@fredoaji9539,"['perempuan', 'lancar', 'sistematis', 'hindar', 'belit', 'hebat', 'wawancara', 'mudah', 'proses', 'hukum', 'jujur', 'objektif']",perempuan lancar sistematis hindar belit hebat wawancara mudah proses hukum jujur objektif
@PanglimaPejuang,"['selidik', 'telkomsel', 'audit', 'telkomsel']",selidik telkomsel audit telkomsel
@sayidhelmy610,"['sita', 'assetnya', 'uu', 'rampas', 'asset', 'cepat', 'sahkan', 'dpr', 'miskin', 'koruptor', 'terima kasih']",sita assetnya uu rampas asset cepat sahkan dpr miskin koruptor terima kasih
@dodokdai4208,"['moga', 'kuasa', 'dzalim', 'kena', 'adzab']",moga kuasa dzalim kena adzab
@esaefullah965,"['hukum', 'mati', 'suruh', 'minum', 'pertamax', 'pertalite', 'negara', 'rugi', 'juta', 'konsumen', 'tipu', 'rugi', 'buat', 'pertanggungjawaban', 'pertamina']",hukum mati suruh minum pertamax pertalite negara rugi juta konsumen tipu rugi buat pertanggungjawaban pertamina
@iwanibo0710,"['hukum', 'gantung', 'bos', 'korupsi']",hukum gantung bos korupsi
@rudika2095,"['tenang', 'kah', 'wajah', 'koruptor']",tenang kah wajah koruptor
@RevaNur-i6i,"['kasihan', 'karen', 'kambing', 'hitam', 'firli', 'ulang', 'eksekutor']",kasihan karen kambing hitam firli ulang eksekutor
@galileogalilei8213,"['wenang', 'ambil', 'bijak', 'jabat', 'publik', 'ranah', 'pidana', 'korupsi', 'bukti', 'alir', 'dana', 'rekening', 'pribadi', 'ngeri', 'model', 'tegak', 'hukum', 'indonesia', 'mudah', 'kriminalisasi', 'jabat', 'publik', 'naik', 'popularitas', 'institusi', 'heran', 'jabat', 'publik', 'pasif', 'enggan', 'ambil', 'putus', 'putus', 'salah', 'bisnis', 'risiko', 'kriminalisasi', 'kpk', 'jaksa']",wenang ambil bijak jabat publik ranah pidana korupsi bukti alir dana rekening pribadi ngeri model tegak hukum indonesia mudah kriminalisasi jabat publik naik popularitas institusi heran jabat publik pasif enggan ambil putus putus salah bisnis risiko kriminalisasi kpk jaksa
@Sukarji-z1g,"['mantap', 'jagung', 'kpk', 'moga', 'kerja', 'amanah', 'jujur', 'buka', 'sejahtera', 'masyarakat', 'indonesia']",mantap jagung kpk moga kerja amanah jujur buka sejahtera masyarakat indonesia
@NgajiMedsoS,"['tolong', 'karen', 'jaga', 'awas', 'menu', 'makan', 'tahan', 'mafia', 'migas', 'racun', 'karen']",tolong karen jaga awas menu makan tahan mafia migas racun karen
@ishamare739,"['nyala', 'shell', 'kuhh']",nyala shell kuhh
@2000get,"['hormat', 'jaksa', 'agung', 'hakim', 'tegak', 'hukum', 'proses', 'hukum', 'berat', 'miskin', 'sita', 'aset', 'ajar', 'khianat', 'negara', 'langgar', 'undang', 'keruk', 'kaya', 'bumi', 'pertiwi', 'kaya', 'pribadi', 'khianat', 'cita', 'bangsa']",hormat jaksa agung hakim tegak hukum proses hukum berat miskin sita aset ajar khianat negara langgar undang keruk kaya bumi pertiwi kaya pribadi khianat cita bangsa
@MaatZ_77,"['metro', 'masak']",metro masak
@surolawe2222,"['bebas', 'perintah', 'atur']",bebas perintah atur
@muhammadfazalabiyakhsya113,"['dukung', 'poll']",dukung poll
@voltes1979,"['hukum', 'mati', 'koruptor', 'miskin', 'keluarga', 'amin']",hukum mati koruptor miskin keluarga amin
@mashudialanwary5900,"['moga', 'bebas', 'tingkat', 'putus', 'putus', 'korporasi', 'ikut', 'kuliah', 'kampus', 'orang', 'pandai', 'integritas', 'moga', 'allah', 'mudah', 'urus', 'karen', 'amin']",moga bebas tingkat putus putus korporasi ikut kuliah kampus orang pandai integritas moga allah mudah urus karen amin
@srimartini7400,"['pertamina', 'jaya', 'pimpin', 'karen', 'wanita', 'tangguh', 'cerdas']",pertamina jaya pimpin karen wanita tangguh cerdas
@iansupriyantoian4671,"['moga', 'sehat', 'bajing', 'presiden', 'tangkap', 'libat']",moga sehat bajing presiden tangkap libat
@saidadebataradja5793,"['sita', 'aset', 'oknum', 'tegak', 'fasal', 'maksimal', 'lho', 'tatakelola', 'timah', 'adil', 'putus', 'hukum', 'semangat', 'aph']",sita aset oknum tegak fasal maksimal lho tatakelola timah adil putus hukum semangat aph
@marbunbarus2527,"['percaya', 'tegak', 'hukum', 'duga', 'odgj']",percaya tegak hukum duga odgj
@Kulo_fann,"['banyak', 'berita', 'kayak', 'min']",banyak berita kayak min
@mohammadtaufiq8580,"['rampas', 'harta', 'koruptor', 'hukum', 'mati']",rampas harta koruptor hukum mati
